* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* 
* Line Format
* Line Number, Biome Category, Mod:Biome, EntityType, Mod:Entity, Spawnweight, Min Group Size, Max Group Size.
* 
1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
2, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 80, 4, 4
3, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 80, 4, 4
5, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 80, 4, 4
6, ocean, minecraft:ocean, MONSTER, minecraft:slime, 80, 4, 4
7, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 5, 1, 4
8, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
9, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 10, 1, 1
10, ocean, minecraft:ocean, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
11, ocean, minecraft:ocean, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
12, ocean, minecraft:ocean, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
13, ocean, minecraft:ocean, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
14, ocean, minecraft:ocean, MONSTER, mowziesmobs:grottol, 10, 1, 1
15, ocean, minecraft:ocean, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
16, ocean, minecraft:ocean, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
17, ocean, minecraft:ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
18, ocean, minecraft:ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
19, ocean, minecraft:ocean, MONSTER, quark:stoneling, 80, 1, 1
20, ocean, minecraft:ocean, MONSTER, quark:toretoise, 80, 1, 1
21, ocean, minecraft:ocean, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
22, ocean, minecraft:ocean, CREATURE, ars_nouveau:drygmy, 10, 1, 1
23, ocean, minecraft:ocean, CREATURE, wyrmroost:butterfly_leviathan, 10, 1, 1
24, ocean, minecraft:ocean, CREATURE, wyrmroost:silver_glider, 10, 1, 4
25, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 8, 8
26, ocean, minecraft:ocean, AMBIENT, pandoras_creatures:seahorse, 10, 2, 3
